"","CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
"2167",2167,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,NA,1,3,20,194,1,28,6,3,2,374,NA,35,NA,6,3,828,1,6,5,85,NA,NA,0.001,0.002,0.012,0.121,0.001,0.017,0.004,0.002,0.001,0.234,NA,0.022,NA,0.004,0.002,0.517,0.001,0.004,0.003,0.053,NA
"2168",2168,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,5,NA,46,296,NA,114,2,6,5,109,1,57,3,9,2,1250,19,36,3,385,NA,0.001,0.002,NA,0.02,0.126,NA,0.049,0.001,0.003,0.002,0.046,0,0.024,0.001,0.004,0.001,0.532,0.008,0.015,0.001,0.164,NA
"2169",2169,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,17,NA,345,1228,1,12,5,6,89,843,2,101,4,25,45,3667,37,14,17,1233,NA,0,0.002,NA,0.045,0.16,0,0.002,0.001,0.001,0.012,0.11,0,0.013,0.001,0.003,0.006,0.477,0.005,0.002,0.002,0.16,NA
"2170",2170,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,12,NA,52,884,NA,34,2,5,27,1502,6,131,8,4,24,3846,268,21,7,619,NA,0.001,0.002,NA,0.007,0.119,NA,0.005,0,0.001,0.004,0.201,0.001,0.018,0.001,0.001,0.003,0.516,0.036,0.003,0.001,0.083,NA
"2171",2171,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,NA,1,46,89,NA,13,2,4,4,697,NA,22,13,1,8,822,2,2,7,457,NA,0,NA,0,0.021,0.041,NA,0.006,0.001,0.002,0.002,0.318,NA,0.01,0.006,0,0.004,0.375,0.001,0.001,0.003,0.209,NA
"2172",2172,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,NA,12,13,475,NA,55,6,8,10,1739,1,48,3,5,2,2592,20,6,13,215,NA,0.001,NA,0.002,0.002,0.091,NA,0.011,0.001,0.002,0.002,0.333,0,0.009,0.001,0.001,0,0.496,0.004,0.001,0.002,0.041,NA
"2173",2173,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,NA,4,52,595,NA,21,26,33,44,466,1,25,9,25,7,2013,9,14,6,329,NA,0.002,NA,0.001,0.014,0.161,NA,0.006,0.007,0.009,0.012,0.126,0,0.007,0.002,0.007,0.002,0.546,0.002,0.004,0.002,0.089,NA
"2174",2174,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,3,3,2,258,250,NA,9,NA,1,5,40,NA,30,NA,8,2,1273,5,5,2,125,NA,0.001,0.001,0.001,0.128,0.124,NA,0.004,NA,0,0.002,0.02,NA,0.015,NA,0.004,0.001,0.63,0.002,0.002,0.001,0.062,NA
"2175",2175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,43,120,545,4,67,8,10,58,1508,2,92,338,59,16,2786,26,14,35,729,1,0.001,0.001,0.007,0.019,0.084,0.001,0.01,0.001,0.002,0.009,0.233,0,0.014,0.052,0.009,0.002,0.43,0.004,0.002,0.005,0.113,0
"2176",2176,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,NA,NA,7,126,52,NA,14,1,2,2,115,NA,7,NA,NA,NA,628,8,3,11,176,NA,NA,NA,0.006,0.109,0.045,NA,0.012,0.001,0.002,0.002,0.1,NA,0.006,NA,NA,NA,0.545,0.007,0.003,0.01,0.153,NA
