,Overall
time22_z,1.2389223316
cons_cnt22_ratio,1.2388937248
time0_z2_wk,1.2347777474
wk_ratio2,1.2311309928
wk_z3,1.2300884451
cons_time22_we,1.2239601687
cons_num13_wk,1.2216799749
satur_z,1.2183992807
cons_cnt0_wk,1.2180910221
sun_z,1.2132292771
sun_cnt,1.2088416408
wk_z2,1.2085881596
sun_ratio2,1.2066622177
we_z,1.2059379334
cons_num0_we,1.2034951364
cons_time0_ratio_we,1.1891134316
time22_z2_wk,1.1881121091
cons_cnt5_wk,1.1810876144
cons_cnt5_ratio_wk,1.173529294
cons_num0_wk,1.1683494011
cons_num0_ratio,1.1679527974
time8_z_wk,1.1599221663
cons_cnt5_ratio,1.1577580795
s_v_median,1.1556551023
we_ratio3,1.1486299295
we_z3,1.1472045059
sun_ratio,1.1436363198
wk_z,1.1435414655
time22_z3_wk,1.1355989458
cons_time5_ratio_we,1.1323618287
cons_time0,1.1176387921
time0_z3,1.1076682382
time0_z_wk,1.1067426034
time5_z_wk,1.1035905153
cons_num22_wk,1.1019480048
cons_time0_wk,1.1014852869
n_v_.8,1.1007139467
cons_cnt8_ratio_wk,1.0999858864
n_v_.14,1.0960912376
time5_z3,1.0897579319
cons_time0_ratio,1.0865457125
time0_z3_wk,1.0852526349
시간비율_문학.예술,1.0845900511
time22_z3,1.0758680723
cons_time5_ratio_wk,1.0757461414
cons_num5_we,1.0711529437
we_ratio1,1.0704895765
time0_z,1.0694414658
n_v_.12,1.0529283151
time22_z_wk,1.0489847305
cons_num5_ratio_wk,1.0388219651
time0_z2,1.0291520008
cons_num22_we,1.0217126758
cons_num22_ratio,1.019017672
cons_cnt22_ratio_wk,1.0099779337
횟수_스포츠.레저,0.99949783956
cons_num5_ratio,0.9904653751
cons_num5_wk,0.98744872653
p_v_.6,0.98642061406
we_ratio2,0.98045693182
cons_cnt22_we,0.9710581122
time5_z_we,0.96944799587
소모시간_문학.예술,0.93816305953
cons_num22_ratio_we,0.930473449
cons_num22,0.91816957259
time5_z2,0.91775932129
cons_num0_ratio_wk,0.90471609881
cons_num22_ratio_wk,0.89419534798
cons_num5_ratio_we,0.89077048609
time5_z2_wk,0.88643375096
cons_cnt0_ratio,0.88383781125
time5_z3_wk,0.88033520452
cons_time22_ratio_wk,0.86413674255
cons_cnt0_ratio_we,0.86214830795
횟수_문학.예술,0.81966791917
cons_time0_ratio_wk,0.81775825886
diversity,0.80591075581
cons_cnt0_ratio_wk,0.79574573633
wk_ratio3,0.79528532405
cons_time22_ratio,0.77295717437
p_v_.22,0.71008984806
v_pr_median,0.63871143548
시간비율_학문,0.53494399429
time_pat3_we유형없음,0.53065966443
n_v_.6,0.52184121674
횟수비율_학문,0.51670178496
소모시간_학문,0.5068787562
time_pat2_we유형없음,0.48975920603
time_pat2_wk유형없음,0.48515801715
day_pat1유형없음,0.46173198639
day_pat2유형없음,0.45212286214
month_pat1유형없음,0.45153440957
time_pat_we유형없음,0.44165272793
time_pat3_wk유형없음,0.43311017704
time_pat1유형없음,0.42513776438
time_pat_wk유형없음,0.41550278603
time_pat3유형없음,0.39820328689
n_v_.22,0.38752174596
횟수_학문,0.38605173003
day_pat3유형없음,0.3698809061
month_pat2유형없음,0.3288884774
s_prt_min,0.32529951892
time_pat3_we점심,0.32476781707
time_pat2유형없음,0.32023779727
month_pat3유형없음,0.30750441697
time_pat3오후,0.30547083444
d_v_.20,0.29952254025
s_t_min,0.27779567393
wk_pat2주말형,0.27213246198
d_v_.8,0.26156044683
time_pat3_we저녁,0.25429178873
time_pat_wk저녁,0.23753870538
day_pat2수요일,0.23520688109
month_pat38월,0.22284991984
d_v_.6,0.21271220061
d_v_.14,0.20914982481
month_pat19월,0.2088889947
time_pat2오전,0.2062199552
d_v_.12,0.20297150456
d_v_.9,0.20098802479
d_v_.22,0.19805638243
time_pat2_wk점심,0.19800572011
day_pat2월요일,0.1906954319
time_pat_we오후,0.1897644812
time_pat2_wk저녁,0.18911039399
d_v_.3,0.18684912937
time_pat3_wk새벽,0.18486885149
day_pat3화요일,0.18187036835
day_pat1토요일,0.18097631919
day_pat2토요일,0.17893814523
time_pat1점심,0.17708860516
time_pat2_wk출근,0.17489783941
time_pat2새벽,0.16995309714
month_pat16월,0.16965881983
time_pat3저녁,0.16620276293
time_pat1저녁,0.16523633059
day_pat3목요일,0.16487966133
day_pat1월요일,0.16317208227
time_pat2_we점심,0.16162491833
time_pat2_we저녁,0.1614237823
day_pat1수요일,0.16135278884
day_pat2목요일,0.15714948845
month_pat24월,0.15518924288
day_pat3월요일,0.14877279068
d_v_.1,0.14545130804
