,Overall
time_pat3_wk유형없음,1.6736239148
month_pat1유형없음,1.6620664197
time_pat2_we유형없음,1.6217248603
month_pat2유형없음,1.4985917855
time_pat1유형없음,1.4708864546
time_pat2유형없음,1.4219156518
time_pat3유형없음,1.4032703088
day_pat2유형없음,1.323764628
n_v_.22,1.3021706163
month_pat3유형없음,1.2771145951
time_pat1오전,0.95704234303
s_t_min,0.93444827649
time_pat3_we저녁,0.90356398292
time_pat_wk출근,0.88456633476
day_pat1월요일,0.87984133093
day_pat3목요일,0.87698250459
s_pr_min,0.84554339251
month_pat311월,0.82336407751
time_pat3_we점심,0.82306891695
d_v_.20,0.76272371873
d_v_.6,0.76211285013
month_pat19월,0.75621620228
time_pat_we저녁,0.73533965433
day_pat3월요일,0.73351941483
day_pat1화요일,0.72326250643
time_pat3_wk출근,0.71769489445
time_pat2_we저녁,0.69266558623
day_pat1목요일,0.68567301804
time_pat3오후,0.67042342326
d_v_.2,0.6657587947
month_pat18월,0.66380179611
time_pat3_wk저녁,0.6444643459
day_pat1토요일,0.63903760549
time_pat3_wk오전,0.63384103717
time_pat3_wk오후,0.62302747737
d_v_.22,0.62264038169
time_pat2_wk출근,0.61208996027
time_pat3오전,0.60410003621
time_pat_wk저녁,0.59518764881
d_v_.12,0.59470046499
time_pat2_wk오전,0.59365732669
day_pat3화요일,0.59036375279
time_pat3_we오전,0.57497103908
day_pat2일요일,0.57474507145
time_pat2_wk저녁,0.57163944583
time_pat3점심,0.56626179522
d_v_.8,0.56282616978
time_pat1저녁,0.552860103
time_pat2점심,0.54279551003
time_pat3_we오후,0.54019302545
time_pat3출근,0.53896637829
day_pat2월요일,0.53710161047
month_pat24월,0.53407094514
time_pat_wk오후,0.53310625523
time_pat3_we새벽,0.53216328089
day_pat1일요일,0.52939726681
time_pat2출근,0.52710367741
time_pat_wk오전,0.51724526448
time_pat3저녁,0.51696078861
time_pat3새벽,0.51454983405
time_pat_we점심,0.51204459621
time_pat2_wk점심,0.50976815984
time_pat2_we점심,0.50704646962
time_pat1오후,0.50134345905
day_pat3토요일,0.49657043287
time_pat2새벽,0.49560993051
month_pat112월,0.4931809443
time_pat_we오후,0.49140703721
time_pat2_we오후,0.48529710728
day_pat2목요일,0.48315000341
time_pat2_we오전,0.48178052186
day_pat2화요일,0.47725012723
time_pat_we오전,0.46711715757
time_pat2오후,0.46674984064
d_v_.1,0.46595167668
month_pat36월,0.4648445941
d_v_.16,0.46353980886
month_pat35월,0.46222421972
time_pat1출근,0.45892846108
month_pat15월,0.44805246288
day_pat2토요일,0.44387806434
d_v_.3,0.44363300392
d_v_.14,0.44211036507
month_pat21월,0.44169072935
day_pat3수요일,0.44040037346
wk_pat2주말형,0.43929756181
month_pat38월,0.43600409556
day_pat2수요일,0.4335587346
month_pat34월,0.42728045824
month_pat111월,0.42682090983
time_pat_we새벽,0.4225649402
time_pat2_wk오후,0.421194253
time_pat2오전,0.41237518643
day_pat1수요일,0.41120931633
time_pat_wk아침,0.40370336681
time_pat2_we새벽,0.40324854014
month_pat312월,0.39624965104
time_pat1아침,0.38879808878
time_pat2저녁,0.38206994945
month_pat33월,0.37809863186
time_pat2_we아침,0.36740141627
month_pat28월,0.36690912857
month_pat26월,0.36267932131
wk_pat3주중형,0.36249253196
month_pat37월,0.36066597659
month_pat27월,0.35294934715
time_pat_we아침,0.34535093358
month_pat23월,0.34398590663
month_pat12월,0.32778235766
time_pat3_wk새벽,0.32159750503
time_pat1점심,0.32050849721
wk_pat2주중형,0.31818652773
month_pat17월,0.30734177065
month_pat25월,0.30013295812
time_pat3_we아침,0.2973532122
time_pat2_wk새벽,0.29701595637
time_pat1새벽,0.27634173304
wk_pat1주중형,0.27401299845
day_pat3일요일,0.27139720168
d_v_.9,0.26496255447
s_v_min,0.25703552419
time_pat3아침,0.24986993922
month_pat39월,0.24383881369
month_pat16월,0.24256034913
d_v_.10,0.24066733758
time_pat_wk점심,0.23710489304
month_pat14월,0.23162485561
time_pat2아침,0.2315547745
time_pat3_wk점심,0.22539952892
month_pat31월,0.21079673832
wk_pat3주말형,0.206158969
wk_pat1주말형,0.20126819232
d_v_.15,0.20013427018
time_pat_we출근,0.19826419941
month_pat11월,0.19812187198
time_pat_wk새벽,0.19792083373
time_pat2_wk아침,0.19652204464
d_v_.18,0.19465451486
month_pat29월,0.18105806385
time_pat3_we출근,0.18015442747
d_v_.13,0.17644739095
time_pat2_we출근,0.1744185578
month_pat211월,0.16666606803
d_v_.4,0.1657873151
d_v_.7,0.16367141136
month_pat212월,0.16199780542
d_v_.19,0.150179807
month_pat13월,0.14028272319
time_pat3_wk아침,0.12186192944
month_pat32월,0.10277223515
month_pat22월,0.090657118965
d_v_.21,0.010731417461
d_v_.5,0.0080485630961
d_v_.11,0.0080485630961
v_t_min,0
v_pr_min,0
d_v_.17,0
