CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
1954,1,0,1,0,118,19036,806,83.75,29.153191489,3446.5617021,185.34468085,20.301905283,21,2285,125,18.625,24.999870522,3542.3666384,176.08114244,13.882811341
1955,1,0,1,0,57,23421,628,139.33333333,11.373493976,2674.4698795,83.93373494,32.035675329,8,1525.5,45,28.38815331,10.561463217,3489.1996211,102.44135857,20.762385074
1956,1,0,1,0,31,2135,305,216,6.3038869258,188.22261484,20.017667845,10.258817758,4,70,10,5.4545454545,6.1210790676,309.83264171,33.202095105,16.677164016
1957,1,0,1,0,44,13723,391,308.5,9.186836518,1431.1082803,48.819532909,29.551854504,7,793,29,25.111111111,7.8558229368,1829.6451728,58.989138205,27.44567912
1958,1,0,1,0,107,18237,628,479,19.218120805,2842.8322148,111.27181208,28.564987423,14,1676.5,71,23.69140625,17.696736573,3339.5696771,116.98529338,32.986910303
1959,1,0,1,0,47,16056,857,162,13.210958904,3977.7068493,159.37534247,26.688488595,13,3164,114,24.91954023,8.8013417066,3553.4638625,158.26764417,16.748863746
1960,1,0,1,0,64,11956,374,102.28571429,11.139158576,1588.1100324,47.682847896,29.638116922,6,677,24,26.391304348,12.350537107,2187.8837105,59.315054677,21.260230442
1961,1,0,1,0,40,6431,270,516,7.765625,1105.8671875,46.1484375,25.067640026,6,667.5,30,19.539661147,6.3226755009,1343.4839951,47.816411957,39.208031085
1962,1,0,1,0,51,16572,352,262,7.9462365591,1019.8996416,29.681003584,34.818794663,5,418,14,26.340206186,7.8420086135,1831.6889768,43.507570222,40.10490586
1963,1,0,3,0,84,15671,739,98.466666667,27.422535211,2980.5422535,167.23239437,20.586113997,20.5,2149.5,103.5,18.155332856,21.252392087,2835.9901085,163.59080873,13.250276398
1964,1,0,1,0,20,3122,77,361.33333333,4.6735218509,435.3059126,11.277634961,37.546513725,4,247,7,28.471428571,2.8952263,502.36894562,12.273273579,36.86469764
1965,1,0,1,0,27,7823,255,130.71428571,5.4315352697,860.12863071,29.966804979,26.352323798,4,339,16,23,4.9028564514,1311.7896856,38.877785776,23.670411292
1966,1,0,1,0,90,17553,592,181,14.807471264,1419.1522989,61.155172414,20.404755774,8,408,23,16.35312076,17.34096951,2437.8197533,88.504800838,21.079964147
1967,1,0,1,0,90,24029,637,360,11.538461538,1567.4588859,51,37.185677039,5,420,15,25.835616438,14.512072405,3004.985192,85.906214325,52.141827781
1968,1,2,1,1,42,11183,354,131.1,6.8585365854,944.73170732,35.092682927,27.011537516,4,343,12,21.25,7.5299719946,1515.4245834,52.488898874,22.640392957
